Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
delay(5),Chrome 119.0.0.0,,,2023-11-17 22:28:41,2023-11-17 22:28:46,5.005s,PASSED
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Maintenance""))",Chrome 119.0.0.0,,,2023-11-17 22:28:46,2023-11-17 22:28:47,0.745s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:28:47,2023-11-17 22:28:49,2.010s,PASSED
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:28:49,2023-11-17 22:28:50,0.624s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:28:50,2023-11-17 22:28:52,2.008s,PASSED
"click(findTestObject(""EYM IO - Dashboard Page/IO Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:28:52,2023-11-17 22:28:53,0.790s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:28:53,2023-11-17 22:28:55,2.010s,PASSED
"mouseOver(findTestObject(""EYM IO - Connection Page/Propeller/Propeller Sandbox/P_SalesforceTokenBased""))",Chrome 119.0.0.0,,,2023-11-17 22:28:55,2023-11-17 22:28:55,0.609s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:28:55,2023-11-17 22:28:57,2.006s,PASSED
"click(findTestObject(""EYM IO - Connection Page/Propeller/Propeller Sandbox/P_SalesforceTokenBased""))",Chrome 119.0.0.0,,,2023-11-17 22:28:57,2023-11-17 22:28:58,0.474s,PASSED
waitForJQueryLoad(30),Chrome 119.0.0.0,,,2023-11-17 22:28:58,2023-11-17 22:28:58,0.055s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-17 22:28:58,2023-11-17 22:29:01,3.008s,PASSED
"verifyElementPresent(findTestObject(""EYM IO - Dashboard Page/Connection - Successful""), 0)",Chrome 119.0.0.0,,,2023-11-17 22:29:01,2023-11-17 22:29:01,0.559s,PASSED
"verifyTextPresent(""Connection Successful."", false)",Chrome 119.0.0.0,,,2023-11-17 22:29:01,2023-11-17 22:29:02,0.377s,PASSED
"if (verifyTextPresent(""Connection Successful."", true) == true)",Chrome 119.0.0.0,,,2023-11-17 22:29:02,2023-11-17 22:29:03,1.552s,PASSED
,,,,,,,
Test Cases/EYM IO Sandbox Instance/Staging/S_NetSuiteConnectionSample,Chrome 119.0.0.0,,,2023-11-17 22:29:03,2023-11-17 22:30:37,1m - 34.157s,FAILED
"callTestCase(findTestCase(""EYM IO Login/Login Staging Sandbox""), [:], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-17 22:29:04,2023-11-17 22:29:20,16.071s,PASSED
delay(5),Chrome 119.0.0.0,,,2023-11-17 22:29:20,2023-11-17 22:29:25,5.006s,PASSED
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Maintenance""))",Chrome 119.0.0.0,,,2023-11-17 22:29:25,2023-11-17 22:29:26,0.822s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:29:26,2023-11-17 22:29:28,2.018s,PASSED
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:29:28,2023-11-17 22:29:28,0.592s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:29:28,2023-11-17 22:29:30,2.005s,PASSED
"click(findTestObject(""EYM IO - Dashboard Page/IO Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:29:30,2023-11-17 22:29:31,0.547s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:29:31,2023-11-17 22:29:33,2.011s,PASSED
"mouseOver(findTestObject(""EYM IO - Connection Page/Staging/Connection Sample""))",Chrome 119.0.0.0,,,2023-11-17 22:29:33,2023-11-17 22:29:34,0.682s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:29:34,2023-11-17 22:29:36,2.006s,PASSED
"click(findTestObject(""EYM IO - Connection Page/Staging/Connection Sample""))",Chrome 119.0.0.0,,,2023-11-17 22:29:36,2023-11-17 22:29:36,0.478s,PASSED
waitForJQueryLoad(30),Chrome 119.0.0.0,,,2023-11-17 22:29:36,2023-11-17 22:29:36,0.060s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-17 22:29:36,2023-11-17 22:29:39,3.003s,PASSED
"verifyElementPresent(findTestObject(""EYM IO - Dashboard Page/Connection - Successful""), 0)",Chrome 119.0.0.0,,,2023-11-17 22:29:39,2023-11-17 22:30:10,30.268s,PASSED
"verifyTextPresent(""Connection Successful."", false)",Chrome 119.0.0.0,,,2023-11-17 22:30:10,2023-11-17 22:30:37,27.968s,FAILED
,,,,,,,
Test Cases/EYM IO Sandbox Instance/Traemand/T_NetsuiteTokenBasedConnection,Chrome 119.0.0.0,,,2023-11-17 22:30:38,2023-11-17 22:31:17,39.016s,PASSED
"callTestCase(findTestCase(""EYM IO Login/Login Traemand Sandbox""), [:], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-17 22:30:38,2023-11-17 22:30:55,16.615s,PASSED
delay(5),Chrome 119.0.0.0,,,2023-11-17 22:30:55,2023-11-17 22:31:00,5.008s,PASSED
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Maintenance""))",Chrome 119.0.0.0,,,2023-11-17 22:31:00,2023-11-17 22:31:00,0.692s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:31:00,2023-11-17 22:31:02,2.003s,PASSED
"mouseOver(findTestObject(""EYM IO - Dashboard Page/IO Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:31:03,2023-11-17 22:31:03,0.626s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:31:03,2023-11-17 22:31:05,2.014s,PASSED
"click(findTestObject(""EYM IO - Dashboard Page/IO Connection""))",Chrome 119.0.0.0,,,2023-11-17 22:31:05,2023-11-17 22:31:06,0.660s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:31:06,2023-11-17 22:31:08,2.018s,PASSED
"mouseOver(findTestObject(""EYM IO - Connection Page/Traemand/Traemand Sandbox/NetsuiteTokenBased""))",Chrome 119.0.0.0,,,2023-11-17 22:31:08,2023-11-17 22:31:08,0.594s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-17 22:31:08,2023-11-17 22:31:10,2.007s,PASSED
"click(findTestObject(""EYM IO - Connection Page/Traemand/Traemand Sandbox/NetsuiteTokenBased""))",Chrome 119.0.0.0,,,2023-11-17 22:31:10,2023-11-17 22:31:11,0.445s,PASSED
waitForJQueryLoad(30),Chrome 119.0.0.0,,,2023-11-17 22:31:11,2023-11-17 22:31:11,0.037s,PASSED
delay(3),Chrome 119.0.0.0,,,2023-11-17 22:31:11,2023-11-17 22:31:14,3.003s,PASSED
"verifyElementPresent(findTestObject(""EYM IO - Dashboard Page/Connection - Successful""), 0)",Chrome 119.0.0.0,,,2023-11-17 22:31:14,2023-11-17 22:31:15,0.605s,PASSED
"verifyTextPresent(""Connection Successful."", false)",Chrome 119.0.0.0,,,2023-11-17 22:31:15,2023-11-17 22:31:15,0.361s,PASSED
"if (verifyTextPresent(""Connection Successful."", true) == true)",Chrome 119.0.0.0,,,2023-11-17 22:31:15,2023-11-17 22:31:17,1.664s,PASSED
,,,,,,,
Test Cases/EYM IO Sandbox Instance/Traemand/T_SalesforceTokenBasedConnection,Chrome 119.0.0.0,,,2023-11-17 22:31:17,2023-11-17 22:31:54,37.313s,PASSED
"callTestCase(findTestCase(""EYM IO Login/Login Traemand Sandbox""), [:], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-17 22:31:17,2023-11-17 22:31:32,15.208s,PASSED
delay(5),Chrome 119.0.0.0,,,2023-11-17 22:31:32,2023-11-17 22:31:37,5.005s,PASSED
